[2026-03-04T04:51:59Z] [SHELL] Command:  | CWD: 
[2026-03-04T04:52:04Z] [SHELL] Command:  | CWD: 
[2026-03-04T04:52:19Z] [SHELL] Command:  | CWD: 
[2026-03-04T04:52:20Z] [SHELL] Command:  | CWD: 
[2026-03-04T04:52:30Z] [SHELL] Command:  | CWD: 
[2026-03-04T04:52:46Z] [SHELL] Command:  | CWD: 
[2026-03-04T04:52:47Z] [SHELL] Command:  | CWD: 
[2026-03-04T04:52:52Z] [SHELL] Command:  | CWD: 
[2026-03-04T04:52:53Z] [SHELL] Command:  | CWD: 
[2026-03-04T04:52:59Z] [SHELL] Command:  | CWD: 
[2026-03-04T04:53:07Z] [SHELL] Command:  | CWD: 
[2026-03-04T04:53:12Z] [SHELL] Command:  | CWD: 
[2026-03-04T04:53:13Z] [SHELL] Command:  | CWD: 
[2026-03-04T04:53:20Z] [SHELL] Command:  | CWD: 
[2026-03-04T04:53:20Z] [SHELL] Command:  | CWD: 
[2026-03-04T04:53:26Z] [SHELL] Command:  | CWD: 
[2026-03-04T04:53:32Z] [SHELL] Command:  | CWD: 
[2026-03-04T04:53:33Z] [SHELL] Command:  | CWD: 
[2026-03-04T04:53:40Z] [SHELL] Command:  | CWD: 
[2026-03-04T04:54:05Z] [SHELL] Command:  | CWD: 
[2026-03-04T04:59:30Z] [SHELL] Command:  | CWD: 
[2026-03-04T05:02:15Z] [SHELL] Command:  | CWD: 
[2026-03-04T05:03:00Z] [SHELL] Command:  | CWD: 
[2026-03-04T05:03:06Z] [SHELL] Command:  | CWD: 
[2026-03-04T05:47:33Z] [SHELL] Command:  | CWD: 
[2026-03-04T05:53:18Z] [SHELL] Command:  | CWD: 
[2026-03-04T05:53:25Z] [SHELL] Command:  | CWD: 
[2026-03-04T05:53:32Z] [SHELL] Command:  | CWD: 
[2026-03-04T05:53:43Z] [SHELL] Command:  | CWD: 
[2026-03-04T05:53:55Z] [SHELL] Command:  | CWD: 
[2026-03-04T05:54:05Z] [SHELL] Command:  | CWD: 
[2026-03-04T05:54:53Z] [SHELL] Command:  | CWD: 
[2026-03-04T05:55:10Z] [SHELL] Command:  | CWD: 
[2026-03-04T05:55:19Z] [SHELL] Command:  | CWD: 
[2026-03-04T05:55:40Z] [SHELL] Command:  | CWD: 
[2026-03-04T05:56:20Z] [SHELL] Command:  | CWD: 
[2026-03-04T05:56:29Z] [SHELL] Command:  | CWD: 
[2026-03-04T05:56:36Z] [SHELL] Command:  | CWD: 
[2026-03-04T05:56:46Z] [SHELL] Command:  | CWD: 
[2026-03-04T05:56:54Z] [SHELL] Command:  | CWD: 
[2026-03-04T05:57:03Z] [SHELL] Command:  | CWD: 
[2026-03-04T05:58:43Z] [SHELL] Command:  | CWD: 
[2026-03-04T05:59:23Z] [SHELL] Command:  | CWD: 
[2026-03-04T05:59:33Z] [SHELL] Command:  | CWD: 
[2026-03-04T05:59:51Z] [SHELL] Command:  | CWD: 
[2026-03-04T06:00:01Z] [SHELL] Command:  | CWD: 
[2026-03-04T06:00:16Z] [SHELL] Command:  | CWD: 
[2026-03-04T06:00:24Z] [SHELL] Command:  | CWD: 
[2026-03-04T06:00:39Z] [SHELL] Command:  | CWD: 
